image_name,tags
file_0,primary clear
file_1,agriculture habitation road water partly_cloudy primary clear
file_10,agriculture road water primary clear
file_100,agriculture habitation road water partly_cloudy primary clear cultivation
file_1000,primary clear
file_10000,primary clear
file_10001,agriculture habitation road water primary clear cultivation
file_10002,agriculture road water primary clear cultivation
file_10003,agriculture road primary clear cultivation
file_10004,agriculture partly_cloudy primary clear cultivation
file_10005,water primary clear
file_10006,primary clear
file_10007,agriculture water partly_cloudy primary
file_10008,partly_cloudy primary
file_10009,agriculture habitation road water primary clear
file_1001,agriculture habitation road water primary clear
file_10010,agriculture habitation road primary clear
file_10011,artisinal_mine agriculture habitation road water primary clear
file_10012,agriculture habitation road primary clear cultivation
file_10013,partly_cloudy primary clear cultivation
file_10014,water primary clear
file_10015,partly_cloudy primary clear
file_10016,agriculture partly_cloudy primary cultivation
file_10017,primary clear
file_10018,primary clear
file_10019,cloudy haze primary
file_1002,primary clear
file_10020,primary clear
file_10021,primary clear
file_10022,primary clear
file_10023,cloudy haze
file_10024,primary clear
file_10025,partly_cloudy primary
file_10026,agriculture road partly_cloudy primary clear cultivation
file_10027,partly_cloudy primary
file_10028,primary clear
file_10029,partly_cloudy primary
file_1003,partly_cloudy primary clear cultivation
file_10030,agriculture habitation road primary clear cultivation
file_10031,agriculture road water partly_cloudy primary
file_10032,primary clear
file_10033,haze primary clear
file_10034,primary clear
file_10035,agriculture habitation road water primary clear
file_10036,primary clear
file_10037,agriculture road water primary clear
file_10038,agriculture partly_cloudy primary clear cultivation
file_10039,agriculture habitation road water primary clear
file_1004,primary clear
file_10040,agriculture road water partly_cloudy primary clear cultivation
file_10041,agriculture partly_cloudy primary
file_10042,primary clear
file_10043,agriculture haze primary clear
file_10044,agriculture water primary clear
file_10045,agriculture habitation road primary clear
file_10046,agriculture primary clear cultivation
file_10047,primary clear
file_10048,primary clear
file_10049,agriculture habitation road water primary clear cultivation
file_1005,agriculture habitation road primary clear cultivation
file_10050,primary clear
file_10051,agriculture habitation road water primary clear cultivation
file_10052,agriculture partly_cloudy primary
file_10053,agriculture habitation road partly_cloudy primary clear cultivation
file_10054,agriculture habitation road water primary clear
file_10055,agriculture habitation road partly_cloudy primary clear cultivation
file_10056,primary clear
file_10057,primary clear
file_10058,partly_cloudy primary clear
file_10059,water primary clear
file_1006,agriculture road water haze primary clear
file_10060,agriculture road water primary clear cultivation
file_10061,agriculture partly_cloudy primary
file_10062,haze primary clear
file_10063,agriculture habitation road water primary clear cultivation
file_10064,agriculture partly_cloudy primary clear cultivation
file_10065,primary clear
file_10066,primary clear
file_10067,agriculture road partly_cloudy primary
file_10068,partly_cloudy primary
file_10069,cloudy water clear
file_1007,agriculture partly_cloudy primary
file_10070,primary clear
file_10071,primary clear
file_10072,agriculture water primary clear
file_10073,primary clear
file_10074,partly_cloudy primary
file_10075,agriculture partly_cloudy primary clear cultivation
file_10076,agriculture road water primary clear cultivation
file_10077,agriculture partly_cloudy primary clear cultivation
file_10078,agriculture road water primary clear cultivation
file_10079,agriculture habitation road primary clear
file_1008,agriculture habitation road water primary clear
file_10080,agriculture habitation road partly_cloudy primary clear cultivation
file_10081,agriculture habitation road primary clear cultivation
file_10082,agriculture habitation road primary clear cultivation
file_10083,partly_cloudy primary
file_10084,agriculture partly_cloudy primary clear cultivation
file_10085,primary clear
file_10086,agriculture water primary clear
file_10087,primary clear
file_10088,cloudy partly_cloudy primary
file_10089,agriculture road water partly_cloudy primary
file_1009,agriculture partly_cloudy primary clear cultivation
file_10090,agriculture habitation road primary clear cultivation
file_10091,partly_cloudy primary
file_10092,partly_cloudy primary
file_10093,agriculture road water primary clear
file_10094,agriculture partly_cloudy primary clear cultivation
file_10095,primary clear
file_10096,primary clear
file_10097,primary clear
file_10098,agriculture habitation road water primary clear
file_10099,agriculture road partly_cloudy primary clear cultivation
file_101,primary clear
file_1010,agriculture road water primary clear cultivation
file_10100,haze primary
file_10101,primary clear
file_10102,agriculture habitation road primary clear
file_10103,primary clear
file_10104,agriculture habitation road water primary clear
file_10105,primary clear
file_10106,agriculture habitation road primary clear cultivation
file_10107,partly_cloudy primary
file_10108,agriculture road water partly_cloudy primary clear
file_10109,agriculture road haze partly_cloudy primary clear cultivation
file_1011,cloudy haze primary
file_10110,primary clear
file_10111,agriculture road water partly_cloudy primary cultivation
file_10112,agriculture habitation road water partly_cloudy primary clear cultivation
file_10113,primary clear
file_10114,primary clear
file_10115,primary clear
file_10116,primary clear
file_10117,haze primary
file_10118,primary clear
file_10119,primary clear
file_1012,agriculture habitation road primary clear
file_10120,agriculture habitation road water partly_cloudy primary clear cultivation
file_10121,haze primary clear
file_10122,agriculture water partly_cloudy primary
file_10123,agriculture habitation road primary clear
file_10124,cloudy haze primary
file_10125,agriculture habitation road water primary clear
file_10126,primary clear
file_10127,agriculture habitation road water partly_cloudy primary clear cultivation
file_10128,agriculture road water haze primary clear
file_10129,cloudy haze primary
file_1013,primary clear
file_10130,agriculture primary clear
file_10131,agriculture habitation road primary clear cultivation
file_10132,primary clear
file_10133,agriculture habitation road primary clear cultivation
file_10134,primary clear
file_10135,agriculture habitation road water partly_cloudy primary
file_10136,agriculture habitation road water primary clear
file_10137,partly_cloudy primary clear cultivation
file_10138,partly_cloudy primary clear cultivation
file_10139,agriculture habitation road water primary clear
file_1014,haze primary clear
file_10140,primary clear
file_10141,primary clear
file_10142,primary clear
file_10143,partly_cloudy primary
file_10144,primary clear
file_10145,primary clear
file_10146,primary clear
file_10147,primary clear
file_10148,primary clear
file_10149,cloudy
file_1015,agriculture habitation road water partly_cloudy primary clear cultivation
file_10150,agriculture partly_cloudy primary
file_10151,agriculture habitation road water primary clear
file_10152,primary clear
file_10153,primary clear
file_10154,water primary clear
file_10155,primary clear
file_10156,agriculture road primary clear
file_10157,agriculture habitation road water primary clear cultivation
file_10158,agriculture habitation road primary clear
file_10159,agriculture habitation road water primary clear
file_1016,agriculture habitation road primary clear
file_10160,primary clear
file_10161,agriculture road partly_cloudy primary clear cultivation
file_10162,partly_cloudy primary
file_10163,agriculture habitation road water partly_cloudy primary clear cultivation
file_10164,agriculture habitation road water primary clear
file_10165,agriculture road primary clear cultivation
file_10166,primary clear
file_10167,agriculture partly_cloudy primary clear cultivation
file_10168,primary clear
file_10169,agriculture road primary clear cultivation
file_1017,agriculture habitation road primary clear cultivation
file_10170,partly_cloudy primary
file_10171,primary clear
file_10172,primary clear
file_10173,agriculture habitation road water primary clear cultivation
file_10174,agriculture partly_cloudy primary
file_10175,road water primary clear
file_10176,agriculture partly_cloudy primary
file_10177,agriculture habitation road primary clear
file_10178,primary clear
file_10179,agriculture road water primary clear
file_1018,cloudy haze primary
file_10180,partly_cloudy primary clear
file_10181,agriculture habitation road water partly_cloudy primary clear
file_10182,agriculture partly_cloudy primary
file_10183,primary clear
file_10184,primary clear
file_10185,primary clear
file_10186,cloudy haze primary
file_10187,partly_cloudy primary
file_10188,agriculture habitation road water primary clear cultivation
file_10189,agriculture road water haze partly_cloudy primary clear
file_1019,agriculture habitation road primary clear cultivation
file_10190,primary clear
file_10191,agriculture habitation road primary clear
file_10192,primary clear
file_10193,agriculture primary clear cultivation
file_10194,primary clear
file_10195,primary clear
file_10196,agriculture habitation road primary clear cultivation
file_10197,primary clear
file_10198,primary clear
file_10199,agriculture habitation road water primary clear
file_102,agriculture road primary clear cultivation
file_1020,primary clear
file_10200,agriculture habitation road water partly_cloudy primary clear cultivation
file_10201,agriculture habitation road primary clear
file_10202,primary clear
file_10203,primary clear
file_10204,primary clear
file_10205,primary clear
file_10206,partly_cloudy primary
file_10207,agriculture road water primary clear
file_10208,agriculture habitation road water primary clear
file_10209,agriculture haze partly_cloudy primary
file_1021,agriculture partly_cloudy primary
file_10210,agriculture road water primary clear
file_10211,agriculture road water primary clear
file_10212,agriculture habitation road water partly_cloudy primary cultivation
